x,y,Cell Type
3349,2592,VCAM+ DP cells
3403,2127,DP cells
322,1549,DP cells
4530,515,DP cells
3959,1024,TCRgd cells
1213,2476,DP cells
2761,380,JAG1+ VCAM+ macrophages
1979,648,JAG1+ VCAM+ macrophages
72,827,DP cells
4197,2870,DP cells
3324,738,DP cells
4144,963,SATB1+ CD3+ DP cells
4400,2837,VCAM+ DP cells
294,960,DP cells
4281,2722,DP cells
969,2740,DP cells
473,2489,DP cells
3705,2603,PD-L1+ CD3+ DP cells 
1334,2920,VCAM+ DP cells
1818,1460,JAG2+ mTECs
4198,2147,DP cells
1026,386,CD45RA+ SP cells
2116,1665,CCR7+ cells
111,2897,DP cells
662,2866,Myeloid cells
2605,952,Pericytes
3451,2260,VCAM+ DP cells
431,2432,VCAM+ DP cells
66,1641,ETPs (proliferating)
4240,1793,CD19+ Cytokeratin 5/8+ cells
1007,255,JAG2+ mTECs
1483,2452,DP cells
676,3149,SATB1+ CD3+ DP cells
1513,435,JAG1+ macrophages
1963,1278,CCR7+ cells
893,951,CCR7+ cells
1371,208,IgM+ cells
1686,2695,DP cells
4025,2234,VCAM+ DP cells
2564,2390,DP cells
3050,3277,DP cells
365,3151,SP cells
3998,2782,VCAM+ DP cells
1800,2948,VCAM+ DP cells
1706,1752,CD45RA+ SP cells
115,1546,VCAM+ DP cells
459,2899,DP cells
4523,643,DP cells
471,791,SP cells
3577,1702,DP cells
3738,1633,DP cells
2615,2951,DP cells
314,1358,DP cells
157,3188,SATB1+ CD3+ DP cells
199,2650,ETPs
4027,1470,DP cells
3630,2451,DP cells
1891,3287,DP cells
1416,1589,JAG1+ macrophages
3841,601,IgM+ cells
1538,2660,DP cells
851,508,SP cells
2198,782,COL4+ cells
4133,3325,VCAM+ DP cells
277,800,ETPs (proliferating)
195,2912,Macrophages
2568,2832,DP cells
4287,578,DP cells
4154,2459,ICAM+ epithelial cells
4216,1344,Class II+ DP cells
4083,509,CCR7+ cells
3072,2875,DP cells
3609,2307,DP cells
3707,3316,WGA+ cells
1970,3327,DP cells
3972,1893,DP cells
2308,2037,WGA+ cells
1645,2973,DP cells
548,1176,SP cells
3657,3285,DP cells
373,778,DP cells
2159,3149,DP cells
3607,683,APCs
2768,96,DP cells
4082,1799,CD19+ Cytokeratin 5/8+ cells
3199,2031,DP cells
3823,1637,PD-L1+ CD3+ DP cells 
3266,415,COL4+ mTECs
922,962,mTECs
