Original Cell Type,Level Three Cell Type,Level Three CL Label,Level Three CL ID,CL_Match/3,Level Two Cell Type,Level Two CL Label,Level Two CL ID,CL_Match/2,Level One Cell Type,Level One CL Label,Level One CL ID,CL_Match/1,Tissue Type
CD8+_T_cell_2,t cell:cd8+,"lung resident memory CD8-positive, alpha-beta T cell",CL:4033039,skos:exactMatch,t cell,T cell,CL:0000084,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lung-codex-urmc
CD8+ T,t cell:cd8+ alpha-beta,"CD8-positive, alpha-beta T cell",CL:0000625,skos:exactMatch,t cell,T cell,CL:0000084,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,intestine-codex-stanford
CD8T,t cell:cd8+ alpha-beta,"CD8-positive, alpha-beta T cell",CL:0000625,skos:exactMatch,t cell,T cell,CL:0000084,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,maternalfetalinterface-mibitof-stanford
CD8+,t cell:cd8+ alpha-beta effector memory,"effector memory CD8-positive, alpha-beta T cell",CL:0000913,skos:exactMatch,t cell,T cell,CL:0000084,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,colon-xenium-stanford
CD8 Memory T cells,t cell:cd8+ alpha-beta memory,"CD8-positive, alpha-beta memory T cell",CL:0000909,skos:exactMatch,t cell,T cell,CL:0000084,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,spleen-codex-ufl
CD8+ T-Cell,t cell:cd8+ alpha-beta regulatory ,"CD8-positive, alpha-beta regulatory T cell",CL:0000795,skos:exactMatch,t cell,T cell,CL:0000084,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,bonemarrow-codex-chop
T_CD8+_CD161+,t cell:cd8+ cd161+,"CD8-positive, alpha-beta T cell:CD161-positive",CL:0000625,skos:narrowMatch,t cell,T cell,CL:0000084,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
PD1+ Tc,t cell:cd8+ pdl1+,"CD8-positive, alpha-beta T cell:pdl1-positive",CL:0000625,skos:narrowMatch,t cell,T cell,CL:0000084,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,colon-cycif-sorgerlab
T_CD4+_TfH_GC,t cell:follicular helper,T follicular helper cell,CL:0002038,skos:exactMatch,t cell,T cell,CL:0000084,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
T_CD4+_TfH,t cell:follicular helper,T follicular helper cell,CL:0002038,skos:exactMatch,t cell,T cell,CL:0000084,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
