Original Cell Type,Level Three Cell Type,Level Three CL Label,Level Three CL ID,CL_Match/3,Level Two Cell Type,Level Two CL Label,Level Two CL ID,CL_Match/2,Level One Cell Type,Level One CL Label,Level One CL ID,CL_Match/1,Tissue Type
Innate,lymphoid cell:innate,innate lymphoid cell,CL:0001065,skos:exactMatch,lymphoid cell,lymphocyte,CL:0000542,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,esophagus-codex-stanford
ILCs,lymphoid cell:innate,innate lymphoid cell,CL:0001065,skos:exactMatch,lymphoid cell,lymphocyte,CL:0000542,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,colon-xenium-stanford
CLP,lymphoid progenitor cell:common,common lymphoid progenitor,CL:0000051,skos:exactMatch,progenitor cell,hematopoietic precursor cell,CL:0008001,skos:exactMatch,hematopoietic precursor cell,hematopoietic precursor cell,CL:0008001,skos:exactMatch,bonemarrow-codex-chop
Macrophages_M2,macrophage,macrophage,CL:0000235,skos:exactMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
M2 Macrophage,macrophage,macrophage,CL:0000235,skos:exactMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,intestine-codex-stanford
Macrophage,macrophage,macrophage,CL:0000235,skos:exactMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,oralcavity-codex-czi
macrophage_CD1c+_myeloidDC,macrophage,alveolar macrophage,CL:0000583,skos:exactMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lung-codex-urmc
Macrophages,macrophage,macrophage,CL:0000235,skos:exactMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,bonemarrow-codex-chop
Macrophages,macrophage,macrophage,CL:0000235,skos:exactMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,colon-xenium-stanford
CD68,macrophage,macrophage,CL:0000235,skos:exactMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,skin-celldive-ge
Macrophage,macrophage,macrophage,CL:0000235,skos:exactMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,skin-confocal-sorgerlab
macrophage,macrophage,macrophage,CL:0000235,skos:exactMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lung-codex-urmc
macrophage_3,macrophage,macrophage,CL:0000235,skos:exactMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lung-codex-urmc
macrophage_2,macrophage,macrophage,CL:0000235,skos:exactMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lung-codex-urmc
Macrophages_M1,macrophage,macrophage,CL:0000235,skos:exactMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
Macrophages,macrophage,macrophage,CL:0000235,skos:exactMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,spleen-codex-ufl
macrophage_p,macrophage,macrophage,CL:0000235,skos:exactMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lung-codex-urmc
Mac1a,macrophage:1a,macrophage:1a,CL:0000235,skos:narrowMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,maternalfetalinterface-mibitof-stanford
Mac1b,macrophage:1b,macrophage:1b,CL:0000235,skos:narrowMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,maternalfetalinterface-mibitof-stanford
Mac2a,macrophage:2a,macrophage:2a,CL:0000235,skos:narrowMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,maternalfetalinterface-mibitof-stanford
Mac2b,macrophage:2b,macrophage:2b,CL:0000235,skos:narrowMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,maternalfetalinterface-mibitof-stanford
Mac2c,macrophage:2c,macrophage:2c,CL:0000235,skos:narrowMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,maternalfetalinterface-mibitof-stanford
Macrophage(I),macrophage:i,macrophage:I,CL:0000235,skos:narrowMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,colon-cycif-sorgerlab
Macrophage(II),macrophage:ii,macrophage:II,CL:0000235,skos:narrowMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,colon-cycif-sorgerlab
Macrophage(III),macrophage:iii,macrophage:III,CL:0000235,skos:narrowMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,colon-cycif-sorgerlab
M1 Macrophage,macrophage:inflammatory,inflammatory macrophage,CL:0000863,skos:exactMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,intestine-codex-stanford
lung Intersitial macrophage,macrophage:interstitial,lung interstitial macrophage,CL:4033043,skos:narrowMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lung-codex-urmc
Macrophage(IV),macrophage:iv,macrophage:IV,CL:0000235,skos:narrowMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,colon-cycif-sorgerlab
PDL1+ Macrophage,macrophage:pdl1+,macrophage:pdl1-positive,CL:0000235,skos:narrowMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,colon-cycif-sorgerlab
Mast,mast cell,mast cell,CL:0000097,skos:exactMatch,mast cell,mast cell,CL:0000097,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
Mast Cells,mast cell,mast cell,CL:0000097,skos:exactMatch,mast cell,mast cell,CL:0000097,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,oralcavity-codex-czi
Mast,mast cell,mast cell,CL:0000097,skos:exactMatch,mast cell,mast cell,CL:0000097,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,colon-xenium-stanford
Mast,mast cell,mast cell,CL:0000097,skos:exactMatch,mast cell,mast cell,CL:0000097,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,maternalfetalinterface-mibitof-stanford
Mast cell,mast cell,mast cell,CL:0000097,skos:exactMatch,mast cell,mast cell,CL:0000097,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lung-codex-urmc
megakaryocyte,megakaryocyte,megakaryocyte,CL:0000556,skos:exactMatch,megakaryocyte,megakaryocyte,CL:0000556,skos:exactMatch,hematopoietic precursor cell,hematopoietic precursor cell,CL:0008001,skos:exactMatch,lung-codex-urmc
GATA1pos_Mks,megakaryocyte:gata1+,megakaryocyte:gata1-positive,CL:0000556,skos:narrowMatch,megakaryocyte,megakaryocyte,CL:0000556,skos:exactMatch,hematopoietic precursor cell,hematopoietic precursor cell,CL:0008001,skos:exactMatch,bonemarrow-codex-chop
GATA1neg_Mks,megakaryocyte:gata1-,megakaryocyte:gata1-negative,CL:0000556,skos:narrowMatch,megakaryocyte,megakaryocyte,CL:0000556,skos:exactMatch,hematopoietic precursor cell,hematopoietic precursor cell,CL:0008001,skos:exactMatch,bonemarrow-codex-chop
Adipo-MSC,mesenchymal stem cell of adipose tissue,mesenchymal stem cell of adipose tissue,CL:0002570,skos:exactMatch,mesenchymal stem cell,mesenchymal stem cell,CL:0000134,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,bonemarrow-codex-chop
THY1+ MSC,mesenchymal stem/stromal cell:thy1+,mesenchymal stem cell:thy1-positive,CL:0000134,skos:narrowMatch,mesenchymal stem/stromal cell,mesenchymal stem cell,CL:0000134,skos:exactMatch,hematopoietic precursor cell,hematopoietic precursor cell,CL:0008001,skos:exactMatch,bonemarrow-codex-chop
Lung_Epithelil_2_CD4+_T_cell,mixed t cell/epithelial cell population,cell:mixed t cell/epithelial cell population,CL:0000000,skos:narrowMatch,mixed t cell/epithelial cell population,T cell/epithelial cell,CL:0000084/CL:0000066,skos:narrowMatch,mixed immune/epithelial cell population,T cell/epithelial cell,CL:0000084/CL:0000066,skos:narrowMatch,lung-codex-urmc
Monocytes,monocyte,monocyte,CL:0000576,skos:exactMatch,monocyte,monocyte,CL:0000576,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
Monocytes,monocyte,monocyte,CL:0000576,skos:exactMatch,monocyte,monocyte,CL:0000576,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,bonemarrow-codex-chop
Monocyte-Macrophage,monocyte,monocyte,CL:0000576,skos:exactMatch,macrophage,macrophage,CL:0000235,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,oralcavity-codex-czi
Non-Classical Monocyte,monocyte:non-classical,non-classical monocyte,CL:0000875,skos:exactMatch,monocyte,monocyte,CL:0000576,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,bonemarrow-codex-chop
Mural Cells,mural cell,mural cell,CL:0008034,skos:exactMatch,perivascular cell,perivascular cell,CL:4033054,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,oralcavity-codex-czi
muscle,muscle cell,muscle cell,CL:0000187,skos:exactMatch,muscle cell,muscle cell,CL:0000187,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,maternalfetalinterface-mibitof-stanford
Skeletal Myocytes,muscle cell:skeletal,cell of skeletal muscle,CL:0000188,skos:exactMatch,muscle cell,muscle cell,CL:0000187,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,oralcavity-codex-czi
Smooth muscle,muscle cell:smooth,smooth muscle cell,CL:0000192,skos:exactMatch,muscle cell,muscle cell,CL:0000187,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,intestine-codex-stanford
SMC_1,muscle cell:smooth,smooth muscle cell,CL:0000192,skos:exactMatch,muscle cell,muscle cell,CL:0000187,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,lung-codex-urmc
VSMC,muscle cell:smooth,smooth muscle cell,CL:0000192,skos:exactMatch,muscle cell,muscle cell,CL:0000187,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,lymphnode-codex-yale
SMC_2,muscle cell:smooth,smooth muscle cell,CL:0000192,skos:exactMatch,muscle cell,muscle cell,CL:0000187,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,lung-codex-urmc
SmoothMuscle,muscle cell:smooth,smooth muscle cell,CL:0000192,skos:exactMatch,muscle cell,muscle cell,CL:0000187,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,tonsil-codex-stanford
smooth muscle_2,muscle cell:smooth,smooth muscle cell,CL:0000192,skos:exactMatch,muscle cell,muscle cell,CL:0000187,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,lung-codex-urmc
SmoothMuscle,muscle cell:smooth,smooth muscle cell of the esophagus,CL:0002599,skos:exactMatch,muscle cell,muscle cell,CL:0000187,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,esophagus-codex-stanford
VSMC,muscle cell:smooth,smooth muscle cell,CL:0000192,skos:exactMatch,muscle cell,muscle cell,CL:0000187,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,bonemarrow-codex-chop
smooth muscle 1,muscle cell:smooth,smooth muscle cell,CL:0000192,skos:exactMatch,muscle cell,muscle cell,CL:0000187,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,lung-codex-urmc
NPM1 Mutant Blast,mutant blast:npm1,,,,abnormal cell,abnormal cell,CL:0001061,skos:exactMatch,hematopoietic precursor cell,hematopoietic precursor cell,CL:0008001,skos:exactMatch,bonemarrow-codex-chop
Myeloid,myeloid cell,myeloid cell,CL:0000763,skos:exactMatch,myeloid cell,myeloid cell,CL:0000763,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,skin-confocal-sorgerlab
Myeloid cells,myeloid cell,myeloid cell,CL:0000763,skos:exactMatch,myeloid cell,myeloid cell,CL:0000763,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,spleen-codex-ufl
Intermediate Myeloid,myeloid cell:intermediate,myeloid cell:intermediate,CL:0000763,skos:narrowMatch,myeloid precursor,common myeloid progenitor,CL:0000049,skos:exactMatch,hematopoietic precursor cell,hematopoietic precursor cell,CL:0008001,skos:exactMatch,bonemarrow-codex-chop
Mature Myeloid,myeloid cell:mature,myeloid cell:mature,CL:0000763,skos:narrowMatch,myeloid cell,myeloid cell,CL:0000763,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,bonemarrow-codex-chop
Early Myeloid Progenitor,myeloid progenitor cell:common,common myeloid progenitor,CL:0000049,skos:exactMatch,progenitor cell,hematopoietic precursor cell,CL:0008001,skos:exactMatch,hematopoietic precursor cell,hematopoietic precursor cell,CL:0008001,skos:exactMatch,bonemarrow-codex-chop
Myoepithelial Cells,myoepithelial cell,myoepithelial cell,CL:0000185,skos:exactMatch,myoepithelial cell,myoepithelial cell,CL:0000185,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,oralcavity-codex-czi
Muscle/Fibroblast,myofibroblast,myofibroblast cell,CL:0000186,skos:exactMatch,fibroblast,fibroblast,CL:0000057,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,colon-cycif-sorgerlab
Myofibroblasts,myofibroblast,myofibroblast cell,CL:0000186,skos:exactMatch,fibroblast,fibroblast,CL:0000057,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,maternalfetalinterface-mibitof-stanford
myofibroblast,myofibroblast,myofibroblast cell,CL:0000186,skos:exactMatch,fibroblast,fibroblast,CL:0000057,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,oralcavity-codex-czi
Myofibroblasts/Smooth Muscle 1,myofibroblast cell:smooth muscle 1,myofibroblast cell:smooth muscle-like 1,CL:0000186,skos:narrowMatch,fibroblast,fibroblast,CL:0000057,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,colon-xenium-stanford
Myofibroblasts/Smooth Muscle 2,myofibroblast cell:smooth muscle 2,myofibroblast cell:smooth muscle-like 2,CL:0000186,skos:narrowMatch,fibroblast,fibroblast,CL:0000057,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,colon-xenium-stanford
Myofibroblasts/Smooth Muscle 3,myofibroblast cell:smooth muscle 3,myofibroblast cell:smooth muscle-like 3,CL:0000186,skos:narrowMatch,fibroblast,fibroblast,CL:0000057,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,colon-xenium-stanford
NK,natural killer cell,natural killer cell,CL:0000623,skos:exactMatch,natural killer cell,natural killer cell,CL:0000623,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
NK1,natural killer cell,natural killer cell,CL:0000623,skos:exactMatch,natural killer cell,natural killer cell,CL:0000623,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,maternalfetalinterface-mibitof-stanford
NK2,natural killer cell,natural killer cell,CL:0000623,skos:exactMatch,natural killer cell,natural killer cell,CL:0000623,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,maternalfetalinterface-mibitof-stanford
NK3,natural killer cell,natural killer cell,CL:0000623,skos:exactMatch,natural killer cell,natural killer cell,CL:0000623,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,maternalfetalinterface-mibitof-stanford
NK4,natural killer cell,natural killer cell,CL:0000623,skos:exactMatch,natural killer cell,natural killer cell,CL:0000623,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,maternalfetalinterface-mibitof-stanford
NK Cells,natural killer cell,natural killer cell,CL:0000623,skos:exactMatch,natural killer cell,natural killer cell,CL:0000623,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,oralcavity-codex-czi
NK,natural killer cell,natural killer cell,CL:0000623,skos:exactMatch,natural killer cell,natural killer cell,CL:0000623,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,intestine-codex-stanford
Tumor/Epithelial,neoplastic cell,neoplastic cell,CL:0001063,skos:exactMatch,abnormal cell,abnormal cell,CL:0001061,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,colon-cycif-sorgerlab
Neuroendocrine,neuroendocrine cell,neuroendocrine cell,CL:0000165,skos:exactMatch,endocrine cell,endocrine cell,CL:0000163,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,intestine-codex-stanford
Nerve,neuron,neuron,CL:0000540,skos:exactMatch,neuron,neuron,CL:0000540,skos:exactMatch,neural cell,neural cell,CL:0002319,skos:exactMatch,esophagus-codex-stanford
Neurons,neuron,neuron,CL:0000540,skos:exactMatch,neuron,neuron,CL:0000540,skos:exactMatch,neural cell,neural cell,CL:0002319,skos:exactMatch,colon-xenium-stanford
Nerve,neuron,neuron,CL:0000540,skos:exactMatch,neuron,neuron,CL:0000540,skos:exactMatch,neural cell,neural cell,CL:0002319,skos:exactMatch,tonsil-codex-stanford
Nerve,neuron,neuron,CL:0000540,skos:exactMatch,neuron,neuron,CL:0000540,skos:exactMatch,neural cell,neural cell,CL:0002319,skos:exactMatch,intestine-codex-stanford
Neutrophil,neutrophil,neutrophil,CL:0000775,skos:exactMatch,neutrophil,neutrophil,CL:0000775,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,intestine-codex-stanford
neutrophil_2,neutrophil,neutrophil,CL:0000775,skos:exactMatch,neutrophil,neutrophil,CL:0000775,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lung-codex-urmc
Neutrophils,neutrophil,neutrophil,CL:0000775,skos:exactMatch,neutrophil,neutrophil,CL:0000775,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,oralcavity-codex-czi
neutrophil,neutrophil,neutrophil,CL:0000775,skos:exactMatch,neutrophil,neutrophil,CL:0000775,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lung-codex-urmc
Neutrophils/Monocytes,neutrophil/monocyte,myeloid leukocyte:neutrophil/monocyte,CL:0000766,skos:narrowMatch,neutrophil,neutrophil,CL:0000775,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,spleen-codex-ufl
Paneth,paneth cell,paneth cell,CL:0000510,skos:exactMatch,paneth cell,paneth cell,CL:0000510,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,intestine-codex-stanford
Paneth,paneth cell,paneth cell,CL:0000510,skos:exactMatch,paneth cell,paneth cell,CL:0000510,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,esophagus-codex-stanford
Pericytes,pericyte,pericyte,CL:0000669,skos:exactMatch,pericyte,pericyte,CL:0000669,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,colon-xenium-stanford
Plasma Cells,plasma cell,plasma cell,CL:0000786,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,bonemarrow-codex-chop
B_plasma,plasma cell,plasma cell,CL:0000786,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
Plasma,plasma cell,plasma cell,CL:0000786,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,tonsil-codex-stanford
Plasma,plasma cell,plasma cell,CL:0000786,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,colon-xenium-stanford
Plasma Cells,plasma cell,plasma cell,CL:0000786,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,oralcavity-codex-czi
Plasma,plasma cell,plasma cell,CL:0000786,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,intestine-codex-stanford
Plasma,plasma cell,plasma cell,CL:0000786,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,esophagus-codex-stanford
AT1_1,pneumocyte:type 1,pulmonary alveolar type 1 cell,CL:0002062,skos:exactMatch,type 1 pneumocyte,pulmonary alveolar type 1 cell,CL:0002062,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,lung-codex-urmc
AT1 _2,pneumocyte:type 1,pulmonary alveolar type 1 cell,CL:0002062,skos:exactMatch,type 1 pneumocyte,pulmonary alveolar type 1 cell,CL:0002062,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,lung-codex-urmc
AT2_p,pneumocyte:type 2 ,pulmonary alveolar type 2 cell,CL:0002063,skos:exactMatch,type 2 pneumocyte,pulmonary alveolar type 2 cell,CL:0002063,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,lung-codex-urmc
AT2_2,pneumocyte:type 2 ,pulmonary alveolar type 2 cell,CL:0002063,skos:exactMatch,type 2 pneumocyte,pulmonary alveolar type 2 cell,CL:0002063,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,lung-codex-urmc
AT2,pneumocyte:type 2 ,pulmonary alveolar type 2 cell,CL:0002063,skos:exactMatch,type 2 pneumocyte,pulmonary alveolar type 2 cell,CL:0002063,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,lung-codex-urmc
AT2_1,pneumocyte:type 2 ,pulmonary alveolar type 2 cell,CL:0002063,skos:exactMatch,type 2 pneumocyte,pulmonary alveolar type 2 cell,CL:0002063,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,lung-codex-urmc
Schwann Cells,schwann cell,Schwann cell,CL:0002573,skos:exactMatch,neuroglial cell,glial cell,CL:0000125,skos:exactMatch,neural cell,neural cell,CL:0002319,skos:exactMatch,bonemarrow-codex-chop
