organ_id,organ,extraction_site,sex,tool,modality,cell_id,cell_label,cell_count,cell_percentage
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000768,kidney connecting tubule epithelial cell,61,8.7217615098656E-3
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030018,kidney connecting tubule principal cell,56,8.006863025450386E-3
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000097,mast cell,49,7.006005147269088E-3
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0011031,monocyte-derived dendritic cell,49,7.006005147269088E-3
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000786,plasma cell,29,4.146411209608235E-3
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002138,endothelial cell of lymphatic vessel,29,4.146411209608235E-3
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000716,kidney outer medulla collecting duct principal cell,16,2.287675150128682E-3
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000412,endothelial cell of arteriole,13,1.858736059479554E-3
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000714,kidney cortex collecting duct principal cell,13,1.858736059479554E-3
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000236,B cell,9,1.286817271947383E-3
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000990,conventional dendritic cell,5,7.148984844152131E-4
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002573,Schwann cell,5,7.148984844152131E-4
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001131,vasa recta ascending limb cell,4,5.719187875321705E-4
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000650,mesangial cell,3,4.289390906491278E-4
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001109,kidney loop of Henle cortical thick ascending limb epithelial cell,2,2.859593937660852E-4
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000653,podocyte,1,1.429796968830426E-4
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001107,kidney loop of Henle thin ascending limb epithelial cell,1,1.429796968830426E-4
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/2a9e525a-4ad9-4085-bca9-31a2d0512008,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000692,kidney interstitial fibroblast,2634,2.195E-1
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/2a9e525a-4ad9-4085-bca9-31a2d0512008,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030013,kidney loop of Henle long descending thin limb outer medulla epithelial cell,2196,1.83E-1
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/2a9e525a-4ad9-4085-bca9-31a2d0512008,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001109,kidney loop of Henle cortical thick ascending limb epithelial cell,779,6.491666666666666E-2
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/2a9e525a-4ad9-4085-bca9-31a2d0512008,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001107,kidney loop of Henle thin ascending limb epithelial cell,746,6.216666666666667E-2
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/2a9e525a-4ad9-4085-bca9-31a2d0512008,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000850,macula densa epithelial cell,558,4.65E-2
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/2a9e525a-4ad9-4085-bca9-31a2d0512008,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000768,kidney connecting tubule epithelial cell,542,4.516666666666667E-2
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/2a9e525a-4ad9-4085-bca9-31a2d0512008,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030014,kidney loop of Henle long descending thin limb inner medulla epithelial cell,511,4.258333333333333E-2
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/2a9e525a-4ad9-4085-bca9-31a2d0512008,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030009,epithelial cell of proximal tubule segment 1,438,3.65E-2
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/2a9e525a-4ad9-4085-bca9-31a2d0512008,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000653,podocyte,432,3.6E-2
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/2a9e525a-4ad9-4085-bca9-31a2d0512008,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001318,renal interstitial pericyte,397,3.308333333333333E-2
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/2a9e525a-4ad9-4085-bca9-31a2d0512008,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000714,kidney cortex collecting duct principal cell,370,3.083333333333333E-2
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/2a9e525a-4ad9-4085-bca9-31a2d0512008,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030016,epithelial cell of early distal convoluted tubule,325,2.708333333333333E-2
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/2a9e525a-4ad9-4085-bca9-31a2d0512008,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030012,kidney loop of Henle short descending thin limb epithelial cell,267,2.225E-2
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/2a9e525a-4ad9-4085-bca9-31a2d0512008,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030011,epithelial cell of proximal tubule segment 3,185,1.541666666666667E-2
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/2a9e525a-4ad9-4085-bca9-31a2d0512008,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000084,T cell,180,1.5E-2
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/2a9e525a-4ad9-4085-bca9-31a2d0512008,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000890,alternatively activated macrophage,154,1.283333333333333E-2
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/2a9e525a-4ad9-4085-bca9-31a2d0512008,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000452,parietal epithelial cell,140,1.166666666666667E-2
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/2a9e525a-4ad9-4085-bca9-31a2d0512008,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001005,glomerular capillary endothelial cell,113,9.416666666666667E-3
