x,y,Cell Type
1463.25734,844.6659599999999,dendritic cell
2076.94226,972.23392,dendritic cell
2166.76822,1050.35986,dendritic cell
1784.06434,61.89688,dendritic cell
2795.17252,1882.94838,dendritic cell
2480.40424,2396.617,dendritic cell
2522.67528,2013.91312,dendritic cell
2141.10366,1571.9543,dendritic cell
2775.16926,3206.56032,dendritic cell
1402.49272,3137.86988,dendritic cell
2784.22734,1867.85158,dendritic cell
1778.40304,249.47462,dendritic cell
2250.17804,1395.32174,dendritic cell
2869.90168,2575.51408,dendritic cell
250.60688,1734.99974,dendritic cell
2149.4069,1623.28342,dendritic cell
23.02262,1219.0666,dendritic cell
2665.71746,1060.17278,dendritic cell
1740.28362,2737.80468,endothelial cell
2035.42606,426.86202,endothelial cell
55.48074,2394.7299,endothelial cell
1128.10838,2127.51654,endothelial cell
1950.50656,2774.79184,endothelial cell
2936.70502,3189.199,endothelial cell
2700.06268,3093.33432,endothelial cell
2191.30052,813.3401,endothelial cell
2595.51734,2055.80674,endothelial cell
1899.93228,850.3272599999999,endothelial cell
1210.76336,2084.86808,endothelial cell
1143.96002,2939.72438,endothelial cell
35.8549,1257.18602,endothelial cell
2063.73256,85.29692,endothelial cell
1730.84812,3218.63776,endothelial cell
2722.33046,2810.26932,endothelial cell
2781.20798,2275.46518,endothelial cell
2362.27178,1346.63456,endothelial cell
2164.12628,2202.62312,endothelial cell
2444.92676,1396.07658,endothelial cell
2324.9072,1631.20924,endothelial cell
1107.35028,905.808,endothelial cell
1319.83774,3260.9088,endothelial cell
1300.9667399999998,3193.72804,endothelial cell
343.4522,3078.23752,endothelial cell
2374.34922,1988.24856,endothelial cell
1974.28402,3397.91226,endothelial cell
2008.62924,1446.65086,endothelial cell
1754.24816,1510.05742,endothelial cell
2222.62638,3301.67016,endothelial cell
1504.77354,512.91378,endothelial cell
1291.53124,3310.35082,endothelial cell
2604.57542,2149.78432,endothelial cell
2487.57522,2705.72398,endothelial cell
2871.78878,2735.54016,endothelial cell
2366.04598,1193.02462,endothelial cell
2036.1809,1405.8895,endothelial cell
233.24556,1470.80574,endothelial cell
2513.23978,1559.4994399999998,endothelial cell
2417.75252,1277.5667,endothelial cell
1292.28608,3130.6989,endothelial cell
1332.2926,1077.1566799999998,endothelial cell
1493.07352,474.79436,endothelial cell
2267.16194,705.7754,endothelial cell
2889.52752,2419.63962,endothelial cell
2780.07572,2401.90088,endothelial cell
1781.79982,446.11044,endothelial cell
2418.12994,2008.25182,endothelial cell
977.89522,3376.77674,endothelial cell
1349.65392,859.0079199999999,endothelial cell
2885.3759,2377.746,endothelial cell
1376.82816,1155.66004,endothelial cell
1351.1636,1248.12794,endothelial cell
2689.49492,2243.7619,endothelial cell
2427.56544,2167.90048,endothelial cell
1034.1308,81.90014,endothelial cell
2691.0046,3415.651,endothelial cell
1885.2129,3025.77614,endothelial cell
769.5593799999999,952.9855,endothelial cell
1012.99528,68.31302,endothelial cell
118.8873,3388.09934,endothelial cell
1537.60908,34.72264,endothelial cell
1988.62598,320.05216,endothelial cell
464.2266,2376.61374,endothelial cell
1259.07312,2515.12688,endothelial cell
2854.42746,2706.1014,endothelial cell
1302.099,2519.65592,endothelial cell
2416.24284,1205.10206,endothelial cell
1730.0932799999998,1500.2445,endothelial cell
1298.3248,2509.843,endothelial cell
2076.56484,2253.1974,endothelial cell
1610.07372,2998.6019,endothelial cell
3010.30192,3366.5864,endothelial cell
2405.67508,1170.75684,endothelial cell
2128.6488,490.646,endothelial cell
2707.23366,1856.9064,endothelial cell
1779.9127199999998,1432.3089,endothelial cell
2204.1328,3278.64754,endothelial cell
2654.39486,3035.21164,endothelial cell
1497.22514,455.16852,endothelial cell
2427.56544,1405.13466,endothelial cell
1778.40304,2682.32394,endothelial cell
2118.08104,2819.70482,endothelial cell
1257.18602,2979.35348,endothelial cell
2918.21144,2061.09062,endothelial cell
2400.76862,1489.67674,endothelial cell
2884.62106,2021.46152,endothelial cell
2282.63616,705.7754,endothelial cell
2649.4884,3026.9084,endothelial cell
2027.50024,125.68086,endothelial cell
2042.97446,1396.07658,endothelial cell
2390.9557,1193.77946,endothelial cell
1819.54182,759.74646,endothelial cell
2603.06574,3077.10526,endothelial cell
1120.9374,2132.423,endothelial cell
2015.4228,1403.24756,endothelial cell
1701.78678,2992.18576,endothelial cell
1632.7189199999998,3000.86642,endothelial cell
2045.23898,624.6301,endothelial cell
1015.63722,67.55818,endothelial cell
1826.7128,3403.57356,endothelial cell
2476.25262,1604.78984,endothelial cell
1899.17744,3340.167,endothelial cell
2200.3586,197.01324,endothelial cell
2523.43012,1564.02848,endothelial cell
2872.54362,2131.29074,endothelial cell
1913.14198,140.02282,endothelial cell
2780.83056,2921.98564,endothelial cell
2706.85624,3280.15722,endothelial cell
791.4497399999999,957.13712,endothelial cell
1424.0056599999998,2219.2296,endothelial cell
2382.27504,886.18216,endothelial cell
3008.79224,3362.8122,endothelial cell
2799.32414,2681.5691,endothelial cell
1073.38248,1858.7935,endothelial cell
1128.10838,2969.91798,endothelial cell
2638.54322,2598.5367,endothelial cell
1377.583,2173.9392,endothelial cell
2961.23732,2881.22428,endothelial cell
303.44568,709.1721799999999,endothelial cell
2338.49432,1263.60216,endothelial cell
413.2749,3151.457,endothelial cell
1253.41182,2979.35348,endothelial cell
1592.7124,3025.77614,endothelial cell
1736.88684,1514.58646,endothelial cell
2711.00786,2256.21676,endothelial cell
2010.13892,1450.04764,endothelial cell
2389.0686,3011.8116,endothelial cell
1130.3728999999998,3000.11158,endothelial cell
2702.3272,3089.1827,endothelial cell
2284.90068,2963.50184,endothelial cell
1137.54388,2961.99216,endothelial cell
439.6943,1076.77926,endothelial cell
2890.65978,3188.82158,endothelial cell
2384.53956,3011.05676,endothelial cell
1468.1637999999998,3218.26034,endothelial cell
1956.9227,2164.5037,endothelial cell
1686.3125599999998,168.70674,endothelial cell
1219.0666,1083.1953999999998,endothelial cell
2219.2296,3297.89596,endothelial cell
2886.13074,2090.52938,endothelial cell
2294.33618,641.99142,endothelial cell
2864.24038,1945.97752,endothelial cell
2418.88478,2002.96794,endothelial cell
1412.6830599999998,1281.71832,endothelial cell
1866.3419,2665.71746,endothelial cell
2663.45294,2320.75558,endothelial cell
2927.26952,2525.69464,endothelial cell
2211.30378,771.8239,endothelial cell
623.8752599999999,3093.33432,endothelial cell
2305.65878,871.46278,endothelial cell
2061.09062,1390.41528,endothelial cell
1944.46784,2775.9241,endothelial cell
2798.5693,2683.83362,endothelial cell
2201.11344,1223.21822,endothelial cell
3084.65366,3367.71866,endothelial cell
143.4196,718.2302599999999,endothelial cell
2059.20352,89.07112,endothelial cell
1842.56444,410.63296,endothelial cell
1787.46112,1471.1831599999998,endothelial cell
2144.50044,2794.7951,endothelial cell
1497.6025599999998,415.91684,endothelial cell
2880.46944,1568.93494,endothelial cell
1872.75804,2654.77228,endothelial cell
1341.7280999999998,1081.68572,endothelial cell
614.06234,3092.57948,endothelial cell
1400.2282,799.37556,endothelial cell
1165.09554,887.3144199999999,endothelial cell
2945.38568,2879.33718,endothelial cell
2107.51328,391.76196,endothelial cell
2446.81386,1163.58586,endothelial cell
2766.4886,1893.51614,endothelial cell
1470.0509,637.8398,endothelial cell
1131.88258,2983.12768,endothelial cell
1715.75132,3367.71866,endothelial cell
2073.9229,1357.57974,endothelial cell
1419.85404,713.7012199999999,endothelial cell
2835.93388,2382.27504,endothelial cell
2671.00134,1887.85484,endothelial cell
2522.29786,2743.08856,endothelial cell
2500.03008,285.32952,endothelial cell
1725.56424,1508.92516,endothelial cell
1434.95084,747.6690199999999,endothelial cell
28.68392,3327.33472,endothelial cell
1835.39346,1288.8892999999998,endothelial cell
2183.75212,209.84552,endothelial cell
2747.6176,1584.03174,endothelial cell
1613.84792,3039.36326,endothelial cell
1914.65166,193.99388,endothelial cell
2565.32374,1400.2282,endothelial cell
1842.56444,3348.09282,endothelial cell
2363.40404,906.56284,endothelial cell
2663.83036,1908.23552,endothelial cell
1308.13772,3142.39892,endothelial cell
2975.57928,3196.7474,endothelial cell
2202.2457,701.24636,endothelial cell
1757.64494,1435.7056799999998,endothelial cell
1976.17112,1442.49924,endothelial cell
1364.75072,686.52698,endothelial cell
1970.88724,1386.64108,endothelial cell
1993.53244,2665.71746,endothelial cell
1131.88258,2965.76636,endothelial cell
2318.11364,1345.87972,endothelial cell
2672.1336,3149.94732,endothelial cell
2863.86296,2387.1815,endothelial cell
2158.46498,2869.90168,endothelial cell
2936.3276,2900.09528,endothelial cell
2435.11384,1903.70648,endothelial cell
2587.2141,1935.40976,endothelial cell
2654.39486,1528.551,endothelial cell
50.19686,2570.98504,endothelial cell
2979.7309,2560.7947,endothelial cell
1962.96142,2935.95018,endothelial cell
2174.69404,2186.01664,endothelial cell
367.60708,2331.32334,endothelial cell
2935.95018,3034.07938,endothelial cell
2413.22348,1262.09248,endothelial cell
1374.1862199999998,435.16526,endothelial cell
2059.95836,1407.7766,endothelial cell
2632.88192,2484.17844,endothelial cell
2458.51388,2492.48168,endothelial cell
2576.64634,2245.27158,endothelial cell
1715.75132,2732.89822,endothelial cell
2058.44868,2589.85604,endothelial cell
2917.83402,3256.75718,endothelial cell
2918.21144,3070.3117,endothelial cell
251.73914,565.3751599999999,endothelial cell
1723.29972,727.66576,endothelial cell
2021.83894,1416.83468,endothelial cell
1378.33784,563.48806,endothelial cell
2024.48088,2248.66836,endothelial cell
2664.5852,2018.81958,endothelial cell
2792.53058,2264.89742,endothelial cell
2079.20678,1353.8055399999998,endothelial cell
2658.16906,2035.04864,endothelial cell
2937.45986,3212.59904,endothelial cell
2868.76942,2104.49392,endothelial cell
1320.97,3342.43152,endothelial cell
2435.11384,1899.55486,endothelial cell
2065.61966,2971.42766,endothelial cell
2428.6977,1418.3443599999998,endothelial cell
1305.8732,2504.93654,endothelial cell
2870.2791,1573.46398,endothelial cell
2907.64368,2407.18476,endothelial cell
2136.1972,2751.01438,endothelial cell
45.66782,2572.49472,endothelial cell
2030.89702,540.46544,endothelial cell
2419.63962,1570.0672,endothelial cell
2884.62106,1571.9543,endothelial cell
2166.01338,697.09474,endothelial cell
1294.17318,3340.167,endothelial cell
2783.84992,2677.04006,endothelial cell
2694.7788,1838.41282,endothelial cell
2767.99828,3347.7154,endothelial cell
1962.584,1484.77028,endothelial cell
2129.02622,724.6464,endothelial cell
2927.26952,3172.59252,endothelial cell
1644.7963599999998,3162.40218,endothelial cell
1140.18582,3024.26646,endothelial cell
2387.55892,889.9563599999999,endothelial cell
1732.7352199999998,1154.9052,endothelial cell
1823.31602,189.46484,endothelial cell
2969.54056,3033.70196,endothelial cell
2687.60782,1827.84506,endothelial cell
2630.99482,2281.5039,endothelial cell
2264.14258,869.9531,endothelial cell
1956.9227,2155.44562,endothelial cell
2387.93634,975.25328,endothelial cell
1820.29666,3331.86376,endothelial cell
2406.80734,958.6468,endothelial cell
2198.09408,714.07864,endothelial cell
1921.0678,1340.97326,endothelial cell
2195.07472,200.78744,endothelial cell
2187.90374,1050.35986,endothelial cell
2374.72664,1670.46092,endothelial cell
2791.77574,2694.7788,endothelial cell
1926.35168,377.42,endothelial cell
2388.31376,2338.49432,endothelial cell
1819.1644,764.65292,endothelial cell
1856.52898,3359.038,endothelial cell
2723.84014,2818.19514,endothelial cell
1735.7545799999998,2976.71154,endothelial cell
2230.92962,463.09434,endothelial cell
1681.4061,2937.08244,endothelial cell
2931.79856,1978.81306,endothelial cell
2906.51142,2427.18802,endothelial cell
2102.98424,986.57588,endothelial cell
1942.95816,121.90666,endothelial cell
19.62584,3185.80222,endothelial cell
1813.12568,190.21968,endothelial cell
2920.09854,2888.39526,endothelial cell
2369.06534,1322.10226,endothelial cell
2682.32394,1818.03214,endothelial cell
2390.9557,1335.68938,endothelial cell
730.68512,954.49518,endothelial cell
426.10718,3139.37956,endothelial cell
2600.4238,1380.2249399999998,endothelial cell
2278.86196,468.37822,endothelial cell
2945.00826,3058.23426,endothelial cell
2424.16866,1420.23146,endothelial cell
1799.53856,751.44322,endothelial cell
1875.7774,2660.05616,endothelial cell
2109.7778,2823.85644,endothelial cell
1464.3896,637.4623799999999,endothelial cell
1496.09288,481.96534,endothelial cell
1100.55672,3121.64082,endothelial cell
6.41614,612.93008,endothelial cell
2872.92104,2101.09714,endothelial cell
51.70654,2861.22102,endothelial cell
2923.49532,3069.55686,endothelial cell
997.14364,73.59689999999999,endothelial cell
2160.7295,212.86488,endothelial cell
2075.43258,1368.90234,endothelial cell
1842.56444,1278.69896,endothelial cell
2114.30684,2735.91758,endothelial cell
1967.11304,1477.2218799999998,endothelial cell
1028.09208,1160.5665,endothelial cell
3006.90514,3370.3606,endothelial cell
2244.13932,2855.1823,endothelial cell
1782.5546599999998,3192.9732,endothelial cell
2158.8424,2317.73622,endothelial cell
2638.1658,1899.93228,endothelial cell
2752.14664,2945.7631,endothelial cell
2559.66244,1714.61906,endothelial cell
270.23272,1327.3861399999998,endothelial cell
2935.57276,3377.15416,endothelial cell
1037.905,1148.48906,endothelial cell
1311.5345,2932.93082,endothelial cell
2875.9404,3171.83768,endothelial cell
2199.22634,2906.51142,endothelial cell
2487.57522,2696.28848,endothelial cell
2729.12402,1852.37736,endothelial cell
1202.46012,2090.9068,endothelial cell
2788.00154,2926.51468,endothelial cell
283.81984,1624.4156799999998,endothelial cell
2953.68892,3052.57296,endothelial cell
2866.5049,2001.83568,endothelial cell
1736.1319999999998,2972.1825,endothelial cell
2560.7947,2342.64594,endothelial cell
2892.54688,2378.50084,endothelial cell
1283.2279999999998,1091.8760599999998,endothelial cell
1498.3574,3126.54728,endothelial cell
2890.65978,2085.62292,endothelial cell
1305.11836,3206.1829,endothelial cell
2176.58114,723.51414,endothelial cell
2373.59438,880.1434399999999,endothelial cell
658.22048,1077.91152,endothelial cell
1728.5836,1139.8084,endothelial cell
335.14896,3045.7794,endothelial cell
2831.02742,2916.32434,endothelial cell
1985.60662,689.92376,endothelial cell
2494.36878,2701.94978,endothelial cell
2401.14604,1609.3188799999998,endothelial cell
2930.6663,3014.07612,endothelial cell
2726.48208,2916.32434,endothelial cell
2481.91392,1449.2928,endothelial cell
2309.8104,1342.48294,endothelial cell
2751.76922,1790.8579,endothelial cell
1396.83142,3169.95058,endothelial cell
1758.39978,1190.00526,endothelial cell
2929.53404,2878.58234,endothelial cell
1309.6473999999998,3373.00254,endothelial cell
2232.81672,469.51048,endothelial cell
329.86508,1976.54854,endothelial cell
2873.67588,1946.73236,endothelial cell
2449.4558,1399.47336,endothelial cell
2761.95956,1754.62558,endothelial cell
2361.89436,888.06926,endothelial cell
1934.2775,614.81718,endothelial cell
2834.04678,2396.617,endothelial cell
2355.85564,1188.11816,endothelial cell
1372.29912,554.05256,endothelial cell
2841.21776,3159.76024,endothelial cell
2711.7627,1863.69996,endothelial cell
1762.92882,738.6109399999999,endothelial cell
2403.41056,1474.57994,endothelial cell
2427.18802,1401.73788,endothelial cell
2643.07226,2596.6496,endothelial cell
2452.47516,2158.8424,endothelial cell
1965.22594,3399.04452,endothelial cell
2521.54302,2531.35594,endothelial cell
2439.64288,1899.93228,endothelial cell
2770.2628,1877.6645,endothelial cell
2879.33718,2413.97832,endothelial cell
2127.51654,302.31342,endothelial cell
1636.1156999999998,2978.59864,endothelial cell
1944.46784,1444.00892,endothelial cell
2650.24324,2027.87766,endothelial cell
1465.5218599999998,618.2139599999999,endothelial cell
1399.09594,824.28528,endothelial cell
1291.15382,3295.25402,endothelial cell
1771.9869,1511.94452,endothelial cell
1751.60622,3209.9571,endothelial cell
1311.15708,3233.73456,endothelial cell
2524.9398,2751.3918,endothelial cell
1468.1637999999998,840.51434,endothelial cell
2474.36552,1859.54834,endothelial cell
1903.32906,197.01324,endothelial cell
752.57548,962.421,endothelial cell
1061.68246,1854.64188,endothelial cell
1783.68692,1422.11856,endothelial cell
2398.5041,3117.11178,endothelial cell
2921.60822,3249.20878,endothelial cell
2861.59844,3365.45414,endothelial cell
1920.69038,165.30996,endothelial cell
193.99388,318.16506,endothelial cell
2861.97586,2712.89496,endothelial cell
1711.22228,3235.24424,endothelial cell
1318.3280599999998,3352.62186,endothelial cell
1657.62864,3133.34084,endothelial cell
1982.20984,2823.47902,endothelial cell
2172.42952,720.11736,endothelial cell
1807.8418,1554.9704,endothelial cell
1373.05396,1160.18908,endothelial cell
1711.22228,2729.50144,endothelial cell
1904.46132,908.82736,endothelial cell
2553.62372,2341.8911,endothelial cell
2202.62312,718.2302599999999,endothelial cell
309.10698,1496.09288,endothelial cell
2148.65206,1571.5768799999998,endothelial cell
2424.9235,956.7597,endothelial cell
