AS/1,AS/1/ID,AS/1/LABEL,AS/2,AS/2/ID,AS/2/LABEL,AS/3,AS/3/ID,AS/3/LABEL,AS/4,AS/4/ID,AS/4/LABEL,AS/5,AS/5/ID,AS/5/LABEL,AS/6,AS/6/ID,AS/6/LABEL,AS/7,AS/7/ID,AS/7/LABEL,AS/8,AS/8/ID,AS/8/LABEL,AS/9,AS/9/ID,AS/9/LABEL,AS/10,AS/10/ID,AS/10/LABEL,AS/11,AS/11/ID,AS/11/LABEL,AS/12,AS/12/ID,AS/12/LABEL,CT/1 - Sources,BGene/1,NV notes
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,respiratory tract epithelial cell,CL:0002368,respiratory tract epithelial cell,epithelial cell of lower respiratory tract,CL:0002632,epithelial cell of lower respiratory tract,,,,,,,,,,,,,,,,,,,,,,frmatch,sc_transcriptomics,
cell,CL:0000000,cell,endothelial cell,CL:0000115,endothelial cell,endothelial cell of vascular tree,CL:0002139,endothelial cell of vascular tree,blood vessel endothelial cell,CL:0000071,blood vessel endothelial cell,vein endothelial cell,CL:0002543,vein endothelial cell,vein endothelial cell of respiratory system,CL:4033008,vein endothelial cell of respiratory system,,,,,,,,,,,,,,,,,,,frmatch,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,squamous epithelial cell,CL:0000076,squamous epithelial cell,stratified squamous epithelial cell,CL:0000240,stratified squamous epithelial cell,keratinizing barrier epithelial cell,CL:0000237,keratinizing barrier epithelial cell,keratinocyte,CL:0000312,keratinocyte,epidermal keratinocyte,CL:4052061,epidermal keratinocyte,basal cell of epidermis,CL:0002187,basal cell of epidermis,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,precursor cell,CL:0011115,precursor cell,stem cell,CL:0000034,stem cell,Leydig stem cell,CL:0009091,Leydig stem cell,,,,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,precursor cell,CL:0011115,precursor cell,progenitor cell,CL:0011026,progenitor cell,hematopoietic stem cell,CL:0000037,hematopoietic stem cell,,,,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,precursor cell,CL:0011115,precursor cell,stem cell,CL:0000034,stem cell,somatic stem cell,CL:0000723,somatic stem cell,epithelial fate stem cell,CL:0000036,epithelial fate stem cell,basal cell,CL:0000646,basal cell,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,squamous epithelial cell,CL:0000076,squamous epithelial cell,mesothelial cell,CL:0000077,mesothelial cell,,,,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,epithelial cell of alimentary canal,CL:0002251,epithelial cell of alimentary canal,intestinal epithelial cell,CL:0002563,intestinal epithelial cell,M cell of gut,CL:0000682,M cell of gut,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,squamous epithelial cell,CL:0000076,squamous epithelial cell,stratified squamous epithelial cell,CL:0000240,stratified squamous epithelial cell,keratinizing barrier epithelial cell,CL:0000237,keratinizing barrier epithelial cell,keratinocyte,CL:0000312,keratinocyte,epidermal keratinocyte,CL:4052061,epidermal keratinocyte,granular cell of epidermis,CL:0002189,granular cell of epidermis,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,epithelial cell of pancreas,CL:0000083,epithelial cell of pancreas,pancreatic endocrine cell,CL:0008024,pancreatic endocrine cell,pancreatic PP cell,CL:0002275,pancreatic PP cell,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,secretory epithelial cell,CL:1100001,secretory epithelial cell,glandular secretory epithelial cell,CL:0000150,glandular secretory epithelial cell,mammary gland glandular cell,CL:1001586,mammary gland glandular cell,lactocyte,CL:0002325,lactocyte,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,conjunctival epithelial cell,CL:1000432,conjunctival epithelial cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,dynamic cell,,dynamic cell,transit amplifying cell,CL:0009010,transit amplifying cell,transit amplifying cell of gut,CL:4047017,transit amplifying cell of gut,,,,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,hepatocyte,CL:0000182,hepatocyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,neural cell,CL:0002319,neural cell,neuron associated cell,CL:0000095,neuron associated cell,neuron associated cell (sensu Vertebrata),CL:0000123,neuron associated cell (sensu Vertebrata),Merkel cell,CL:0000242,Merkel cell,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,renal cortical epithelial cell,CL:0002584,renal cortical epithelial cell,kidney corpuscule cell,CL:1000612,kidney corpuscule cell,glomerular cell,CL:1000746,glomerular cell,kidney glomerular epithelial cell,CL:1000510,kidney glomerular epithelial cell,epithelial cell of glomerular capsule,CL:1000450,epithelial cell of glomerular capsule,podocyte,CL:0000653,podocyte,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,secretory epithelial cell,CL:1100001,secretory epithelial cell,mucous cell of stomach,CL:0002180,mucous cell of stomach,,,,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,epithelial cell of thymus,CL:0002293,epithelial cell of thymus,cortical thymic epithelial cell,CL:0002364,cortical thymic epithelial cell,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,respiratory tract epithelial cell,CL:0002368,respiratory tract epithelial cell,,,,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,respiratory tract epithelial cell,CL:0002368,respiratory tract epithelial cell,epithelial cell of lower respiratory tract,CL:0002632,epithelial cell of lower respiratory tract,epithelial cell of lung,CL:0000082,epithelial cell of lung,pulmonary ionocyte,CL:0017000,pulmonary ionocyte,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,squamous epithelial cell,CL:0000076,squamous epithelial cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,columnar/cuboidal epithelial cell,CL:0000075,columnar/cuboidal epithelial cell,brush border epithelial cell,CL:0000239,brush border epithelial cell,enterocyte,CL:0000584,enterocyte,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,tuft cell,CL:0002204,tuft cell,intestinal tuft cell,CL:0019032,intestinal tuft cell,,,,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,duct epithelial cell,CL:0000068,duct epithelial cell,branched duct epithelial cell,CL:0000069,branched duct epithelial cell,cholangiocyte,CL:1000488,cholangiocyte,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,mammary gland epithelial cell,CL:0002327,mammary gland epithelial cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,epithelial cell of thymus,CL:0002293,epithelial cell of thymus,medullary thymic epithelial cell,CL:0002365,medullary thymic epithelial cell,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,secretory epithelial cell,CL:1100001,secretory epithelial cell,enteroendocrine cell,CL:0000164,enteroendocrine cell,,,,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,duct epithelial cell,CL:0000068,duct epithelial cell,seminiferous tubule epithelial cell,CL:0002625,seminiferous tubule epithelial cell,Sertoli cell,CL:0000216,Sertoli cell,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,epithelial cell of thymus,CL:0002293,epithelial cell of thymus,medullary thymic epithelial cell,CL:0002365,medullary thymic epithelial cell,medullary thymic epithelial cell type 3,CL:0009073,medullary thymic epithelial cell type 3,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,duct epithelial cell,CL:0000068,duct epithelial cell,branched duct epithelial cell,CL:0000069,branched duct epithelial cell,pancreatic ductal cell,CL:0002079,pancreatic ductal cell,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,columnar/cuboidal epithelial cell,CL:0000075,columnar/cuboidal epithelial cell,myoepithelial cell,CL:0000185,myoepithelial cell,basal-myoepithelial cell of mammary gland,CL:0002324,basal-myoepithelial cell of mammary gland,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,squamous epithelial cell,CL:0000076,squamous epithelial cell,mesothelial cell,CL:0000077,mesothelial cell,seminiferous tubule epithelial cell,CL:0002625,seminiferous tubule epithelial cell,peritubular myoid cell,CL:0002481,peritubular myoid cell,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,epithelial cell of alimentary canal,CL:0002251,epithelial cell of alimentary canal,intestinal epithelial cell,CL:0002563,intestinal epithelial cell,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,epithelial cell of thymus,CL:0002293,epithelial cell of thymus,,,,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,squamous epithelial cell,CL:0000076,squamous epithelial cell,stratified squamous epithelial cell,CL:0000240,stratified squamous epithelial cell,keratinizing barrier epithelial cell,CL:0000237,keratinizing barrier epithelial cell,keratinocyte,CL:0000312,keratinocyte,spinous cell,CL:4052060,spinous cell,spinous cell of epidermis,CL:0000649,spinous cell of epidermis,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,epithelial cell of alimentary canal,CL:0002251,epithelial cell of alimentary canal,epithelial cell of stomach,CL:0002178,epithelial cell of stomach,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,neural cell,CL:0002319,neural cell,retinal cell,CL:0009004,retinal cell,retinal pigment epithelial cell,CL:0002586,retinal pigment epithelial cell,,,,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,epithelial cell of alimentary canal,CL:0002251,epithelial cell of alimentary canal,intestinal epithelial cell,CL:0002563,intestinal epithelial cell,epithelial cell of large intestine,CL:0002253,epithelial cell of large intestine,colon epithelial cell,CL:0011108,colon epithelial cell,colonocyte,CL:1000347,colonocyte,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,mammary gland epithelial cell,CL:0002327,mammary gland epithelial cell,luminal epithelial cell of mammary gland,CL:0002326,luminal epithelial cell of mammary gland,luminal adaptive secretory precursor cell of mammary gland,CL:4033057,luminal adaptive secretory precursor cell of mammary gland,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,ecto-epithelial cell,CL:0002077,ecto-epithelial cell,general ecto-epithelial cell,CL:0002159,general ecto-epithelial cell,corneal epithelial cell,CL:0000575,corneal epithelial cell,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,nephron tubule epithelial cell,CL:1000494,nephron tubule epithelial cell,epithelial cell of distal tubule,CL:0002305,epithelial cell of distal tubule,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,renal intercalated cell,CL:0005010,renal intercalated cell,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,columnar/cuboidal epithelial cell,CL:0000075,columnar/cuboidal epithelial cell,multiciliated epithelial cell,CL:0005012,multiciliated epithelial cell,respiratory tract multiciliated cell,CL:4030034,respiratory tract multiciliated cell,lung multiciliated epithelial cell,CL:1000271,lung multiciliated epithelial cell,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,secretory epithelial cell,CL:1100001,secretory epithelial cell,enteroendocrine cell,CL:0000164,enteroendocrine cell,pancreatic endocrine cell,CL:0008024,pancreatic endocrine cell,type B pancreatic cell,CL:0000169,type B pancreatic cell,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,nephron tubule epithelial cell,CL:1000494,nephron tubule epithelial cell,epithelial cell of proximal tubule,CL:0002306,epithelial cell of proximal tubule,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,respiratory tract epithelial cell,CL:0002368,respiratory tract epithelial cell,respiratory tract secretory epithelial cell,CL:0008055,respiratory tract secretory epithelial cell,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell,cycling pulmonary alveolar type 2 cell,CL:4033080,cycling pulmonary alveolar type 2 cell,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,respiratory tract epithelial cell,CL:0002368,respiratory tract epithelial cell,epithelial cell of lower respiratory tract,CL:0002632,epithelial cell of lower respiratory tract,epithelial cell of lung,CL:0000082,epithelial cell of lung,pulmonary alveolar epithelial cell,CL:0000322,pulmonary alveolar epithelial cell,pulmonary alveolar type 1 cell,CL:0002062,pulmonary alveolar type 1 cell,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,respiratory tract epithelial cell,CL:0002368,respiratory tract epithelial cell,epithelial cell of lower respiratory tract,CL:0002632,epithelial cell of lower respiratory tract,epithelial cell of lung,CL:0000082,epithelial cell of lung,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,epithelial cell of pancreas,CL:0000083,epithelial cell of pancreas,,,,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,respiratory tract epithelial cell,CL:0002368,respiratory tract epithelial cell,epithelial cell of lower respiratory tract,CL:0002632,epithelial cell of lower respiratory tract,epithelial cell of lung,CL:0000082,epithelial cell of lung,pulmonary alveolar epithelial cell,CL:0000322,pulmonary alveolar epithelial cell,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,epithelial cell of alimentary canal,CL:0002251,epithelial cell of alimentary canal,oral mucosa squamous cell,CL:1001576,oral mucosa squamous cell,gingival epithelial cell,CL:0002621,gingival epithelial cell,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,columnar/cuboidal epithelial cell,CL:0000075,columnar/cuboidal epithelial cell,brush border epithelial cell,CL:0000239,brush border epithelial cell,enterocyte,CL:0000584,enterocyte,BEST4+ enterocyte,CL:4030026,BEST4+ enterocyte,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,nephron tubule epithelial cell,CL:1000494,nephron tubule epithelial cell,kidney loop of Henle epithelial cell,CL:1000909,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,duct epithelial cell,CL:0000068,duct epithelial cell,branched duct epithelial cell,CL:0000069,branched duct epithelial cell,luminal epithelial cell of mammary gland,CL:0002326,luminal epithelial cell of mammary gland,luminal hormone-sensing cell of mammary gland,CL:4033058,luminal hormone-sensing cell of mammary gland,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,precursor cell,CL:0011115,precursor cell,progenitor cell,CL:0011026,progenitor cell,club cell,CL:0000158,club cell,,,,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,squamous epithelial cell,CL:0000076,squamous epithelial cell,stratified squamous epithelial cell,CL:0000240,stratified squamous epithelial cell,keratinizing barrier epithelial cell,CL:0000237,keratinizing barrier epithelial cell,keratinocyte,CL:0000312,keratinocyte,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,renal intercalated cell,CL:0005010,renal intercalated cell,renal beta-intercalated cell,CL:0002201,renal beta-intercalated cell,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,epithelial cell of pancreas,CL:0000083,epithelial cell of pancreas,pancreatic endocrine cell,CL:0008024,pancreatic endocrine cell,pancreatic epsilon cell,CL:0005019,pancreatic epsilon cell,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,secretory epithelial cell,CL:1100001,secretory epithelial cell,enteroendocrine cell,CL:0000164,enteroendocrine cell,pancreatic endocrine cell,CL:0008024,pancreatic endocrine cell,pancreatic A cell,CL:0000171,pancreatic A cell,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,respiratory tract epithelial cell,CL:0002368,respiratory tract epithelial cell,epithelial cell of lower respiratory tract,CL:0002632,epithelial cell of lower respiratory tract,epithelial cell of lung,CL:0000082,epithelial cell of lung,pulmonary alveolar epithelial cell,CL:0000322,pulmonary alveolar epithelial cell,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,epithelial cell of alimentary canal,CL:0002251,epithelial cell of alimentary canal,intestinal epithelial cell,CL:0002563,intestinal epithelial cell,paneth cell,CL:0000510,paneth cell,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,renal intercalated cell,CL:0005010,renal intercalated cell,renal alpha-intercalated cell,CL:0005011,renal alpha-intercalated cell,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,secretory epithelial cell,CL:1100001,secretory epithelial cell,goblet cell,CL:0000160,goblet cell,intestine goblet cell,CL:0019031,intestine goblet cell,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,secretory epithelial cell,CL:1100001,secretory epithelial cell,glandular secretory epithelial cell,CL:0000150,glandular secretory epithelial cell,adrenal gland glandular cell,CL:1001601,adrenal gland glandular cell,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,myeloid cell,CL:0000763,myeloid cell,erythroid lineage cell,CL:0000764,erythroid lineage cell,erythrocyte,CL:0000232,erythrocyte,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,myeloid cell,CL:0000763,myeloid cell,platelet,CL:0000233,platelet,,,,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,myeloid leukocyte,CL:0000766,myeloid leukocyte,granulocyte,CL:0000094,granulocyte,neutrophil,CL:0000775,neutrophil,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,myeloid leukocyte,CL:0000766,myeloid leukocyte,granulocyte,CL:0000094,granulocyte,,,,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,alpha-beta T cell,CL:0000789,alpha-beta T cell,mature alpha-beta T cell,CL:0000791,mature alpha-beta T cell,"CD4-positive, alpha-beta T cell",CL:0000624,"CD4-positive, alpha-beta T cell",CD4-positive helper T cell,CL:0000492,CD4-positive helper T cell,T follicular helper cell,CL:0002038,T follicular helper cell,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,mature T cell,CL:0002419,mature T cell,mature alpha-beta T cell,CL:0000791,mature alpha-beta T cell,"CD4-positive, alpha-beta T cell",CL:0000624,"CD4-positive, alpha-beta T cell",,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,mature T cell,CL:0002419,mature T cell,mature alpha-beta T cell,CL:0000791,mature alpha-beta T cell,"CD4-positive, alpha-beta T cell",CL:0000624,"CD4-positive, alpha-beta T cell","CD4-positive, alpha-beta memory T cell",CL:0000897,"CD4-positive, alpha-beta memory T cell",,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,,,,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,gamma-delta T cell,CL:0000798,gamma-delta T cell,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,alpha-beta T cell,CL:0000789,alpha-beta T cell,,,,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,mature T cell,CL:0002419,mature T cell,naive T cell,CL:0000898,naive T cell,,,,,,,,,,,,,pan-human-azimuth,sc_transcriptomics,
