AS/1,AS/1/ID,AS/1/LABEL,AS/2,AS/2/ID,AS/2/LABEL,AS/3,AS/3/ID,AS/3/LABEL,AS/4,AS/4/ID,AS/4/LABEL,AS/5,AS/5/ID,AS/5/LABEL,AS/6,AS/6/ID,AS/6/LABEL,AS/7,AS/7/ID,AS/7/LABEL,AS/8,AS/8/ID,AS/8/LABEL,AS/9,AS/9/ID,AS/9/LABEL,AS/10,AS/10/ID,AS/10/LABEL,AS/11,AS/11/ID,AS/11/LABEL,AS/12,AS/12/ID,AS/12/LABEL,CT/1 - Sources,BGene/1,NV notes
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,mononuclear phagocyte,CL:0000113,mononuclear phagocyte,dendritic cell,CL:0000451,dendritic cell,conventional dendritic cell,CL:0000990,conventional dendritic cell,myeloid dendritic cell,CL:0000782,myeloid dendritic cell,monocyte-derived dendritic cell,CL:0011031,monocyte-derived dendritic cell,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,respiratory tract epithelial cell,CL:0002368,respiratory tract epithelial cell,respiratory tract secretory epithelial cell,CL:0008055,respiratory tract secretory epithelial cell,respiratory tract goblet cell,CL:0002370,respiratory tract goblet cell,tracheobronchial goblet cell,CL:0019003,tracheobronchial goblet cell,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,endothelial cell,CL:0000115,endothelial cell,endothelial cell of vascular tree,CL:0002139,endothelial cell of vascular tree,blood vessel endothelial cell,CL:0000071,blood vessel endothelial cell,endothelial cell of artery,CL:1000413,endothelial cell of artery,,,,,,,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,nephron tubule epithelial cell,CL:1000494,nephron tubule epithelial cell,epithelial cell of distal tubule,CL:0002305,epithelial cell of distal tubule,kidney distal convoluted tubule epithelial cell,CL:1000849,kidney distal convoluted tubule epithelial cell,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,renal intercalated cell,CL:0005010,renal intercalated cell,kidney collecting duct intercalated cell,CL:1001432,kidney collecting duct intercalated cell,,,,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,cycling T cell,CL:4033069,cycling T cell,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,myeloid leukocyte,CL:0000766,myeloid leukocyte,macrophage,CL:0000235,macrophage,lung macrophage,CL:1001603,lung macrophage,alveolar macrophage,CL:0000583,alveolar macrophage,cycling alveolar macrophage,CL:4033077,cycling alveolar macrophage,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,endothelial cell,CL:0000115,endothelial cell,endothelial cell of vascular tree,CL:0002139,endothelial cell of vascular tree,blood vessel endothelial cell,CL:0000071,blood vessel endothelial cell,endothelial cell of artery,CL:1000413,endothelial cell of artery,fetal artery endothelial cell,CL:4047006,fetal artery endothelial cell,,,,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,mature T cell,CL:0002419,mature T cell,mature alpha-beta T cell,CL:0000791,mature alpha-beta T cell,mature NK T cell,CL:0000814,mature NK T cell,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,mature T cell,CL:0002419,mature T cell,effector T cell,CL:0000911,effector T cell,helper T cell,CL:0000912,helper T cell,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,lymphocyte of B lineage,CL:0000945,lymphocyte of B lineage,B cell,CL:0000236,B cell,"B cell, CD19-positive",CL:0001201,"B cell, CD19-positive",mature B cell,CL:0000785,mature B cell,memory B cell,CL:0000787,memory B cell,class switched memory B cell,CL:0000972,class switched memory B cell,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,innate lymphoid cell,CL:0001065,innate lymphoid cell,group 3 innate lymphoid cell,CL:0001071,group 3 innate lymphoid cell,"group 3 innate lymphoid cell, human",CL:0001078,"group 3 innate lymphoid cell, human",,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,squamous epithelial cell,CL:0000076,squamous epithelial cell,stratified squamous epithelial cell,CL:0000240,stratified squamous epithelial cell,keratinizing barrier epithelial cell,CL:0000237,keratinizing barrier epithelial cell,keratinocyte,CL:0000312,keratinocyte,epidermal keratinocyte,CL:4052061,epidermal keratinocyte,basal cell of epidermis,CL:0002187,basal cell of epidermis,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,neural cell,CL:0002319,neural cell,neuron,CL:0000540,neuron,efferent neuron,CL:0000527,efferent neuron,neuroendocrine cell,CL:0000165,neuroendocrine cell,type D enteroendocrine cell,CL:0000502,type D enteroendocrine cell,type D cell of colon,CL:0002265,type D cell of colon,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,epithelial cell of alimentary canal,CL:0002251,epithelial cell of alimentary canal,intestinal epithelial cell,CL:0002563,intestinal epithelial cell,intestinal enteroendocrine cell,CL:1001516,intestinal enteroendocrine cell,type L enteroendocrine cell,CL:0002279,type L enteroendocrine cell,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
